Charger device ID,Charger display ID,Charger serial number,Location ID,Location name,Location street address,Location city,Location state/province,Location country,Location zip/postal code,Company,Company ID,Local time zone,Geolocation,Summary period start date (YYYY-MM-DD) (UTC),Summary period end date (YYYY-MM-DD) (UTC),Number of sessions,Number of unique drivers,Charging time (min),Energy provided (kWh),Payment collected ($),Currency used
484ace17-61a1-4166-b6ae-ed4206be189f,MP-004,M5004376-3,3a9ad049-2559-408f-84ae-c0b36ca60b8e,Millennium Heights,N/A-N/A Welches,St. Thomas,St. Thomas,BB,BB22026,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/St_Thomas,"13.150460382201004,-59.61058751275202",2025-01-01,2025-01-31,22,5,4400.27,542.7,814.05,BBD
97c7f6a7-7006-47d9-b131-ab4bf4588444,MP-061,M5012054-6,da62d1c4-cbd6-4389-9c49-4a8db67041cd,Sheraton Center Barbados,Sheraton Center,Sargeant’s Village,Christ Church,BB,,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.0828117900741,-59.5666073309772",2025-01-01,2025-01-31,81,25,11312.35,1395.2,2078.10,BBD
909b0205-27ec-42ff-8db5-ca1c5c13f313,MP-073,M5012856-2,66feb7b7-5b2a-4b3a-9834-1588c486e002,Melbourne Inn,"Apartment Block-4th Ave, Dover",Bridgetown,01,BB,BB15026,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.0660298,-59.5649616",2025-01-01,2025-01-31,25,5,1209.27,443.4,575.03,BBD
c550619e-b231-4fc8-a566-4ce8db512db8,MP-40,M5012054-3,c99c4c69-f2bf-41da-b54a-e2935d9febaf,Barbados Yacht Club,Next to Tennis Court-1 Bay Street,Bridgetown ,08,BB,BB11000,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.083583,-59.608611",2025-01-01,2025-01-31,29,8,3487.30,430.1,645.15,BBD
8fe69ffc-3ca7-45c0-80c0-45e3d00bdea7,MP-075,M5012062-9,ec6203e5-a809-48f9-b71c-19f55305b7a2,Megapower Office ,Edghill Building-4 Wildey Business Park,Wildey,08,BB,BB11000,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.093006,-59.586553",2025-01-01,2025-01-31,60,6,2218.36,813.4,496.80,BBD
9a445e8d-c406-4697-8eb2-ff7bb31fdcc8,MP-015,M5006097-4,a87a171b-b7a5-4dcf-a5d6-49216d3a6285,Sky Mall,Sky Mall-0 Errol Barrow Highway,Haggatt Hall,08,BB,BB19025,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.105389,-59.579667",2025-01-01,2025-01-31,49,21,4251.08,524.3,567.30,BBD
cdae14e3-bc41-4149-be58-2c590d7448db,MP-055,M5012857-1,ee1be5a4-2046-4ae9-9e64-28066a8e1527,The Walk,"The Walk, Welches, St Thomas",Welches,St Thomas,BB,,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.155103143456,-59.6113313021413",2025-01-01,2025-01-31,28,14,2220.81,273.9,390.52,BBD
b553f5ad-d54d-445b-8620-faea6c8380c8,MP-021,51210097772979,4cd66a5c-b7e0-4080-8b8e-5a23f8817deb,Limegrove,Limegrove Lifestyle Center Carpark,Holetown,St. James,BB,,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.1865238988325,-59.6359529309767",2025-01-01,2025-01-31,37,13,314.55,524.3,917.32,BBD
6ef10fa0-880c-4209-a116-ca134d8d90b8,MP-080,M5012051-9,1f98780c-5bfe-444a-ab2d-dae32351ba57,The Mill Barbados (Millhouse),The Mill Complex-3 Canewood Industrial Park,Canewood,11,BB,BB11005,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.147281,-59.593348",2025-01-01,2025-01-31,16,3,718.91,263.6,395.40,BBD
1be5fdf8-6f5d-485f-801f-a441c0cea6da,MP-082,M5012464-6,520e275f-4c35-4ffa-b7b5-9d6bf74c5672,One Welches Ltd,Carport-1 Welches,St.Thomas,11,BB,BB22025,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.155162,-59.613737",2025-01-01,2025-01-31,22,2,44.73,16.4,24.60,BBD
