Charger device ID,Charger display ID,Charger serial number,Location ID,Location name,Location street address,Location city,Location state/province,Location country,Location zip/postal code,Company,Company ID,Local time zone,Geolocation,Summary period start date (YYYY-MM-DD) (UTC),Summary period end date (YYYY-MM-DD) (UTC),Number of sessions,Number of unique drivers,Charging time (min),Energy provided (kWh),Payment collected ($),Currency used
03c821d6-6274-427c-937a-ad91c6bc020d,MP-025,51210097772981,79b72a61-f5ca-433f-b824-0c7df1204859,Massy Warrens,Massy Warrens - Massy Stores Supercenter,Warrens,St. Michael,BB,,Massy,578dca79-afd1-4b04-816a-322a7067114b,America/Barbados,"13.1418840472076,-59.6087500021415",2025-01-01,2025-01-31,167,42,7886.50,3618.0,6163.94,BBD
024e77fc-3da1-4e73-930e-b76e45511419,MP-001,M5005918-7,1977c2c7-cd44-4e6f-a827-370cd9aad5bd,Massy Sunset Crest,"Massy Stores Supercenter, Sunset Crest",Holetown,St James,BB,,Massy,578dca79-afd1-4b04-816a-322a7067114b,America/Barbados,"13.1850239447129,-59.6374305021412",2025-01-01,2025-01-31,5,3,89.19,11.0,16.50,BBD
8d27dae5-8d1f-48d0-bfe1-8875d5d568a5,MP-0079,M5012464-2,1977c2c7-cd44-4e6f-a827-370cd9aad5bd,Massy Sunset Crest,"Massy Stores Supercenter, Sunset Crest",Holetown,St James,BB,,Massy,578dca79-afd1-4b04-816a-322a7067114b,America/Barbados,"13.1850239447129,-59.6374305021412",2025-01-01,2025-01-31,15,11,300.82,110.3,152.55,BBD
03c821d6-6274-427c-937a-ad91c6bc020d,MP-025,51210097772981,79b72a61-f5ca-433f-b824-0c7df1204859,Massy Warrens,Massy Warrens - Massy Stores Supercenter,Warrens,St. Michael,BB,,Massy,578dca79-afd1-4b04-816a-322a7067114b,America/Barbados,"13.1418840472076,-59.6087500021415",2025-12-01,2025-12-31,144,45,6181.51,2642.5,4412.43,BBD
024e77fc-3da1-4e73-930e-b76e45511419,MP-001,M5005918-7,1977c2c7-cd44-4e6f-a827-370cd9aad5bd,Massy Sunset Crest,"Massy Stores Supercenter, Sunset Crest",Holetown,St James,BB,,Massy,578dca79-afd1-4b04-816a-322a7067114b,America/Barbados,"13.1850239447129,-59.6374305021412",2025-12-01,2025-12-31,1,1,0.00,0.0,0.00,BBD
8d27dae5-8d1f-48d0-bfe1-8875d5d568a5,MP-0079,M5012464-2,1977c2c7-cd44-4e6f-a827-370cd9aad5bd,Massy Sunset Crest,"Massy Stores Supercenter, Sunset Crest",Holetown,St James,BB,,Massy,578dca79-afd1-4b04-816a-322a7067114b,America/Barbados,"13.1850239447129,-59.6374305021412",2025-12-01,2025-12-31,18,9,502.91,184.4,177.86,BBD
